Filename,Asset Version,Asset Generator,Number of Scenes,Number of Nodes,Number of Meshes,Number of Materials,Number of Animations,Number of Textures,Number of Images,Number of Buffers,Extensions Used,Extensions Required,Count_Extensions_Used,Cluster,PCA1,PCA2
cour_du_chateau_de_chambord.glb,2.0,Sketchfab-16.59.0,1,76,74,10,0,10,10,1,['KHR_materials_unlit'],[],1,2,0.9362205661348867,0.1252606188030662
King_Gustav_Vasas_Helmet_with_a_Gilt_Crown.glb,2.0,pygltflib@v1.16.3,1,30,13,1,0,1,1,1,[],[],0,0,-0.5099781087325774,0.11277321400342387
The_Dining_Room.glb,2.0,pygltflib@v1.16.3,1,32,14,1,0,1,1,1,[],[],0,0,-0.4995321354389122,0.1305821820249661
Laocoon_and_His_Sons.glb,2.0,pygltflib@v1.16.3,1,6,1,1,0,4,4,1,[],[],0,0,-0.3826538328895153,-0.25801844138471597
elizabeth_tower_big_ben.glb,2.0,Sketchfab-16.59.0,1,3,1,1,0,1,1,1,[],[],0,0,-0.6431812175142934,-0.1128825453452932
Common_raven.glb,2.0,pygltflib@v1.16.3,1,38,17,1,0,3,3,1,[],[],0,0,-0.2997435786465531,0.07928639333650454
Thor_and_the_Midgard_Serpent.glb,2.0,pygltflib@v1.16.3,1,31,10,7,0,19,19,1,[],[],0,0,1.260496323168433,-0.9956783344167977
Place_de_la_Nation-The_Triumphe_of_the_Republic.glb,2.0,pygltflib@v1.16.3,1,104,50,1,0,0,0,1,[],[],0,0,-0.20770241532264494,0.8240663771770319
César_-_Louvre_Museum.glb,2.0,pygltflib@v1.16.3,1,25,10,1,0,1,1,1,[],[],0,0,-0.5386988855276622,0.06332902430220033
Model_of_the_Golden_Temple_Wan_fa_Gui_yi_Hall.glb,2.0,pygltflib@v1.16.3,1,313,120,67,0,71,71,1,[],[],0,1,9.625898996277133,-2.9165476743126626
Gothic_chalice.glb,2.0,pygltflib@v1.16.3,1,43,17,4,0,12,12,1,[],[],0,0,0.6050883118733161,-0.4422518572961878
candi_prambanan_low_poly.glb,2.0,Sketchfab-12.68.0,1,1741,812,8,0,7,7,1,[],[],0,1,8.949453019989402,14.314217996212443
